step_index,time_seconds,target_joint_1,target_joint_2,target_joint_3,qpos_joint_1,qpos_joint_2,qpos_joint_3
35,0.7000000000000001,0.216,-0.33599999999999997,0.432,0.216,-0.33599999999999997,0.432
36,0.72,0.222,-0.3453333333333333,0.444,0.222,-0.3453333333333333,0.444
37,0.74,0.22800000000000004,-0.3546666666666667,0.45600000000000007,0.22800000000000004,-0.3546666666666667,0.45600000000000007
38,0.76,0.234,-0.364,0.468,0.234,-0.364,0.468
39,0.78,0.24,-0.3733333333333333,0.48,0.24,-0.3733333333333333,0.48
40,0.8,0.246,-0.3826666666666666,0.492,0.246,-0.3826666666666666,0.492
41,0.8200000000000001,0.25200000000000006,-0.392,0.5040000000000001,0.25200000000000006,-0.392,0.5040000000000001
42,0.84,0.258,-0.4013333333333333,0.516,0.258,-0.4013333333333333,0.516
43,0.86,0.264,-0.4106666666666666,0.528,0.264,-0.4106666666666666,0.528
44,0.88,0.27,-0.42,0.54,0.27,-0.42,0.54
45,0.9,0.27599999999999997,-0.4293333333333333,0.5519999999999999,0.27599999999999997,-0.4293333333333333,0.5519999999999999
46,0.92,0.28200000000000003,-0.43866666666666665,0.5640000000000001,0.28200000000000003,-0.43866666666666665,0.5640000000000001
47,0.9400000000000001,0.28800000000000003,-0.44799999999999995,0.5760000000000001,0.28800000000000003,-0.44799999999999995,0.5760000000000001
48,0.96,0.294,-0.4573333333333333,0.588,0.294,-0.4573333333333333,0.588
49,0.98,0.3,-0.4666666666666666,0.6,0.3,-0.4666666666666666,0.6
50,1.0,0.30600000000000005,-0.476,0.6120000000000001,0.30600000000000005,-0.476,0.6120000000000001
51,1.02,0.312,-0.48533333333333334,0.624,0.312,-0.48533333333333334,0.624
52,1.04,0.318,-0.49466666666666664,0.636,0.318,-0.49466666666666664,0.636
53,1.06,0.324,-0.504,0.648,0.324,-0.504,0.648
54,1.08,0.32999999999999996,-0.5133333333333333,0.6599999999999999,0.32999999999999996,-0.5133333333333333,0.6599999999999999
55,1.1,0.336,-0.5226666666666666,0.672,0.336,-0.5226666666666666,0.672
56,1.12,0.342,-0.5319999999999999,0.684,0.342,-0.5319999999999999,0.684
57,1.1400000000000001,0.348,-0.5413333333333333,0.696,0.348,-0.5413333333333333,0.696
58,1.16,0.354,-0.5506666666666666,0.708,0.354,-0.5506666666666666,0.708
59,1.18,0.36000000000000004,-0.5599999999999999,0.7200000000000001,0.36000000000000004,-0.5599999999999999,0.7200000000000001
60,1.2,0.366,-0.5693333333333334,0.732,0.366,-0.5693333333333334,0.732
61,1.22,0.372,-0.5786666666666667,0.744,0.372,-0.5786666666666667,0.744
62,1.24,0.378,-0.588,0.756,0.378,-0.588,0.756
63,1.26,0.384,-0.5973333333333334,0.768,0.384,-0.5973333333333334,0.768
64,1.28,0.39,-0.6066666666666667,0.78,0.39,-0.6066666666666667,0.78
65,1.3,0.396,-0.616,0.792,0.396,-0.616,0.792
66,1.32,0.402,-0.6253333333333333,0.804,0.402,-0.6253333333333333,0.804
67,1.34,0.408,-0.6346666666666666,0.816,0.408,-0.6346666666666666,0.816
