step_index,time_seconds,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,position_error_norm,experiment_case_id,tcp_label,joint_1,joint_2,joint_3
13,0.26,0.106287,-0.41627,1.132398,0.015300093189394398,-0.5843468665528335,0.9537902930248771,0.0909869068106056,0.16807686655283355,0.17860770697512296,0.26158968494971707,tcp_case_2,tcp_forward_5cm,0.026183335329118183,-0.03788093115943577,0.16698391178589733
14,0.28,0.106287,-0.41627,1.132398,0.016370303433711743,-0.583510945065063,0.9558903296058171,0.08991669656628826,0.16724094506506298,0.17650767039418291,0.25924795801631856,tcp_case_2,tcp_forward_5cm,0.02805357356691234,-0.040586711956538325,0.17891133405631857
15,0.3,0.106287,-0.41627,1.132398,0.0174370443863678,-0.5826598299237684,0.9579838237571694,0.08884995561363221,0.16638982992376844,0.17441417624283062,0.25690503106998547,tcp_case_2,tcp_forward_5cm,0.029923811804706494,-0.04329249275364088,0.1908387563267398
16,0.32,0.106287,-0.41627,1.132398,0.018500240824547376,-0.5817936141963398,0.9600706294548159,0.08778675917545263,0.16552361419633982,0.1723273705451841,0.2545610036556362,tcp_case_2,tcp_forward_5cm,0.03179405004250065,-0.045998273550743436,0.20276617859716106
17,0.34,0.106287,-0.41627,1.132398,0.01955981823785046,-0.5809123932138265,0.9621506018532486,0.08672718176214955,0.1646423932138265,0.17024739814675138,0.25221597545619445,tcp_case_2,tcp_forward_5cm,0.03366428828029481,-0.04870405434784599,0.2146936008675823
18,0.36,0.106287,-0.41627,1.132398,0.020615702847153923,-0.58001626455,0.9642235973143726,0.08567129715284608,0.16374626455000002,0.16817440268562744,0.24987004628125684,tcp_case_2,tcp_forward_5cm,0.035534526518088964,-0.05140983514494855,0.22662102313800353
19,0.38,0.106287,-0.41627,1.132398,0.021667821623247825,-0.5791053279998941,0.9662894734360538,0.08461917837675217,0.16283532799989414,0.16610852656394626,0.2475233160557505,tcp_case_2,tcp_forward_5cm,0.03740476475588312,-0.0541156159420511,0.23854844540842476
20,0.4,0.106287,-0.41627,1.132398,0.02271610230524182,-0.5781796855578365,0.9683480890804039,0.08357089769475819,0.16190968555783652,0.1640499109195961,0.2451758848085852,tcp_case_2,tcp_forward_5cm,0.039275002993677276,-0.05682139673915366,0.250475867678846
21,0.42,0.106287,-0.41627,1.132398,0.023760473418734388,-0.5772394413949677,0.970399304401797,0.08252652658126562,0.16096944139496777,0.161998695598203,0.2428278526612949,tcp_case_2,tcp_forward_5cm,0.04114524123147143,-0.059527177536256214,0.26240328994926726
22,0.44,0.106287,-0.41627,1.132398,0.024800864293741016,-0.5762847018362625,0.97244298087461,0.08148613570625898,0.16001470183626249,0.15995501912539,0.24047931981667514,tcp_case_2,tcp_forward_5cm,0.04301547946926559,-0.06223295833335877,0.27433071221968847
