time_seconds,joint_1_desired,joint_1_actual,joint_1_error,joint_2_desired,joint_2_actual,joint_2_error,joint_3_desired,joint_3_actual,joint_3_error,joint_4_desired,joint_4_actual,joint_4_error,joint_5_desired,joint_5_actual,joint_5_error,joint_6_desired,joint_6_actual,joint_6_error
0.125,0.065,0.053676520714821346,-0.011323479285178656,-0.0325,-0.026838260357410673,0.005661739642589328,0.04875,0.040257390536116,-0.008492609463883999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0675,0.05616474698615351,-0.011335253013846497,-0.03375,-0.028082373493076754,0.005667626506923248,0.050625,0.042123560239615124,-0.00850143976038488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.135,0.06999999999999999,0.058655092528645876,-0.011344907471354117,-0.034999999999999996,-0.029327546264322938,0.005672453735677058,0.0525,0.0439913193964844,-0.008508680603515596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0725,0.06114717587348962,-0.011352824126510376,-0.03625,-0.03057358793674481,0.005676412063255188,0.054375,0.04586038190511721,-0.00851461809488279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.145,0.07500000000000001,0.06364068421626148,-0.011359315783738527,-0.037500000000000006,-0.03182034210813074,0.005679657891869264,0.056249999999999994,0.04773051316219611,-0.008519486837803882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.07750000000000001,0.06613536105733442,-0.011364638942665595,-0.03875000000000001,-0.03306768052866721,0.005682319471332797,0.058124999999999996,0.049601520793000814,-0.008523479206999182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.155,0.08000000000000002,0.06863099606701423,-0.011369003932985788,-0.04000000000000001,-0.034315498033507114,0.005684501966492894,0.06,0.05147324705026067,-0.008526752949739327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0825,0.07112741677495167,-0.011372583225048333,-0.04125,-0.035563708387475836,0.005686291612524166,0.06187499999999999,0.05334556258121375,-0.008529437418786243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165,0.085,0.07362448175546037,-0.01137551824453964,-0.0425,-0.03681224087773018,0.00568775912226982,0.06375,0.05521836131659528,-0.008531638683404723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.08750000000000001,0.0761220750394775,-0.011377924960522506,-0.043750000000000004,-0.03806103751973875,0.005688962480261253,0.065625,0.05709155627960813,-0.008533443720391873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17500000000000002,0.09000000000000001,0.07862010153237155,-0.011379898467628463,-0.045000000000000005,-0.039310050766185774,0.0056899492338142316,0.0675,0.058965076149278664,-0.00853492385072134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.09250000000000001,0.08111848325654467,-0.011381516743455347,-0.046250000000000006,-0.04055924162827233,0.005690758371727674,0.069375,0.060838862442408506,-0.0085361375575915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185,0.095,0.08361715627036663,-0.011382843729633371,-0.0475,-0.041808578135183315,0.005691421864816686,0.07125,0.06271286720277497,-0.008537132797225025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0975,0.08611606814170064,-0.011383931858299362,-0.04875,-0.04305803407085032,0.005691965929149681,0.073125,0.06458705110627547,-0.008537948893724528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,0.1,0.08861517587619452,-0.011384824123805481,-0.05,-0.04430758793809726,0.005692412061902741,0.075,0.06646138190714589,-0.008538618092854111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.1025,0.09111444421847952,-0.011385555781520479,-0.05125,-0.04555722210923976,0.0056927778907602394,0.07687499999999999,0.06833583316385962,-0.008539166836140366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20500000000000002,0.10500000000000001,0.0936138442591532,-0.01138615574084681,-0.052500000000000005,-0.0468069221295766,0.005693077870423405,0.07875,0.07021038319436489,-0.008539616805635114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.1075,0.09611335229250563,-0.011386647707494368,-0.05375,-0.048056676146252815,0.005693323853747184,0.08062499999999999,0.0720850142193792,-0.00853998578062079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.215,0.11000000000000001,0.09861294887985463,-0.011387051120145389,-0.05500000000000001,-0.04930647443992731,0.0056935255600726944,0.0825,0.07395971165989094,-0.008540288340109059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.1125,0.1011126180814808,-0.011387381918519207,-0.05625,-0.0505563090407404,0.0056936909592596036,0.08437499999999999,0.07583446356111058,-0.008540536438889412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.225,0.11499999999999999,0.10361234682681425,-0.011387653173185741,-0.057499999999999996,-0.051806173413407125,0.0056938265865928706,0.08625,0.07770926012011067,-0.00854073987988932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.11750000000000001,0.10611212439798769,-0.01138787560201232,-0.058750000000000004,-0.05305606219899384,0.00569393780100616,0.088125,0.07958409329849075,-0.00854090670150924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23500000000000001,0.12,0.1086119420063499,-0.0113880579936501,-0.06,-0.05430597100317495,0.00569402899682505,0.09,0.08145895650476241,-0.008541043495237585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.12250000000000001,0.11111179244520691,-0.011388207554793098,-0.061250000000000006,-0.05555589622260346,0.005694103777396549,0.091875,0.08333384433390517,-0.008541155666094827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,0.125,0.11361166980506968,-0.011388330194930324,-0.0625,-0.05680583490253484,0.005694165097465162,0.09375,0.08520875235380224,-0.008541247646197764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.1275,0.11611156924015713,-0.011388430759842874,-0.06375,-0.058055784620078564,0.005694215379921437,0.09562499999999999,0.08708367693011783,-0.008541323069882159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.255,0.13,0.11861148677692884,-0.011388513223071162,-0.065,-0.05930574338846442,0.005694256611535581,0.0975,0.08895861508269662,-0.008541384917303385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.1325,0.12111141915708165,-0.011388580842918355,-0.06625,-0.060555709578540826,0.005694290421459178,0.09937499999999999,0.09083356436781123,-0.00854143563218876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.265,0.135,0.12361136370880696,-0.01138863629119305,-0.0675,-0.06180568185440348,0.005694318145596525,0.10125,0.09270852278160521,-0.008541477218394794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.1375,0.1261113182412217,-0.011388681758778302,-0.06875,-0.06305565912061085,0.005694340879389151,0.103125,0.09458348868091628,-0.00854151131908372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
