时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0.17,0,0,1.831,0.031957,-1.05608
0.171,0,0,1.831,0.031957,-1.0644
0.172,0,0,1.831,0.031957,-1.07269
0.173,0,0,1.831,0.031957,-1.08094
0.174,0,0,1.831,0.031957,-1.08915
0.175,0,0,1.831,0.031957,-1.09732
0.176,0,0,1.831,0.031957,-1.10545
0.177,0,0,1.831,0.031957,-1.11354
0.178,0,0,1.831,0.031957,-1.12159
0.179,0,0,1.831,0.031957,-1.1296
0.18,0,0,1.831,0.031957,-1.13756
0.181,0,0,1.831,0.031957,-1.14548
0.182,0,0,1.831,0.031957,-1.15335
0.183,0,0,1.831,0.031957,-1.16117
0.184,0,0,1.831,0.031957,-1.16895
0.185,0,0,1.831,0.031957,-1.17667
0.186,0,0,1.831,0.031957,-1.18435
0.187,0,0,1.831,0.031957,-1.19198
0.188,0,0,1.831,0.031957,-1.19955
0.189,0,0,1.831,0.031957,-1.20707
0.19,0,0,1.831,0.031957,-1.21454
0.191,0,0,1.831,0.031957,-1.22195
0.192,0,0,1.831,0.031957,-1.2293
0.193,0,0,1.831,0.031957,-1.2366
0.194,0,0,1.831,0.031957,-1.24385
0.195,0,0,1.831,0.031957,-1.25103
0.196,0,0,1.831,0.031957,-1.25815
0.197,0,0,1.831,0.031957,-1.26521
0.198,0,0,1.831,0.031957,-1.27222
0.199,0,0,1.831,0.031957,-1.27916
0.2,0,0,1.831,0.031957,-1.28603
0.201,0,0,1.831,0.031957,-1.29284
0.202,0,0,1.831,0.031957,-1.29959
0.203,0,0,1.831,0.031957,-1.30627
0.204,0,0,1.831,0.031957,-1.31289
0.205,0,0,1.831,0.031957,-1.31943
0.206,0,0,1.831,0.031957,-1.32591
0.207,0,0,1.831,0.031957,-1.33232
0.208,0,0,1.831,0.031957,-1.33866
0.209,0,0,1.831,0.031957,-1.34493
0.21,0,0,1.831,0.031957,-1.35113
0.211,0,0,1.831,0.031957,-1.35725
0.212,0,0,1.831,0.031957,-1.36331
0.213,0,0,1.831,0.031957,-1.36928
0.214,0,0,1.831,0.031957,-1.37519
0.215,0,0,1.831,0.031957,-1.38102
0.216,0,0,1.831,0.031957,-1.38677
0.217,0,0,1.831,0.031957,-1.39244
0.218,0,0,1.831,0.031957,-1.39804
0.219,0,0,1.831,0.031957,-1.40356
0.22,0,0,1.831,0.031957,-1.409
0.221,0,0,1.831,0.031957,-1.41436
0.222,0,0,1.831,0.031957,-1.41964
0.223,0,0,1.831,0.031957,-1.42484
0.224,0,0,1.831,0.031957,-1.42995
0.225,0,0,1.831,0.031957,-1.43499
0.226,0,0,1.831,0.031957,-1.43994
0.227,0,0,1.831,0.031957,-1.44481
0.228,0,0,1.831,0.031957,-1.44959
0.229,0,0,1.831,0.031957,-1.45429
0.23,0,0,1.831,0.031957,-1.4589
0.231,0,0,1.831,0.031957,-1.46343
0.232,0,0,1.831,0.031957,-1.46787
0.233,0,0,1.831,0.031957,-1.47222
0.234,0,0,1.831,0.031957,-1.47648
0.235,0,0,1.831,0.031957,-1.48066
0.236,0,0,1.831,0.031957,-1.48475
0.237,0,0,1.831,0.031957,-1.48874
0.238,0,0,1.831,0.031957,-1.49265
0.239,0,0,1.831,0.031957,-1.49647
0.24,0,0,1.831,0.031957,-1.50019
0.241,0,0,1.831,0.031957,-1.50383
0.242,0,0,1.831,0.031957,-1.50737
0.243,0,0,1.831,0.031957,-1.51082
0.244,0,0,1.831,0.031957,-1.51418
0.245,0,0,1.831,0.031957,-1.51745
0.246,0,0,1.831,0.031957,-1.52062
0.247,0,0,1.831,0.031957,-1.52369
0.248,0,0,1.831,0.031957,-1.52668
0.249,0,0,1.831,0.031957,-1.52956
0.25,0,0,1.831,0.031957,-1.53236
0.251,0,0,1.831,0.031957,-1.53505
0.252,0,0,1.831,0.031957,-1.53766
0.253,0,0,1.831,0.031957,-1.54016
0.254,0,0,1.831,0.031957,-1.54257
0.255,0,0,1.831,0.031957,-1.54488
0.256,0,0,1.831,0.031957,-1.54709
0.257,0,0,1.831,0.031957,-1.54921
0.258,0,0,1.831,0.031957,-1.55123
0.259,0,0,1.831,0.031957,-1.55315
0.26,0,0,1.831,0.031957,-1.55497
0.261,0,0,1.831,0.031957,-1.5567
0.262,0,0,1.831,0.031957,-1.55833
0.263,0,0,1.831,0.031957,-1.55985
0.264,0,0,1.831,0.031957,-1.56128
0.265,0,0,1.831,0.031957,-1.56261
0.266,0,0,1.831,0.031957,-1.56384
0.267,0,0,1.831,0.031957,-1.56497
0.268,0,0,1.831,0.031957,-1.566
0.269,0,0,1.831,0.031957,-1.56693
0.27,0,0,1.831,0.031957,-1.56776
0.271,0,0,1.831,0.031957,-1.56849
0.272,0,0,1.831,0.031957,-1.56912
0.273,0,0,1.831,0.031957,-1.56965
0.274,0,0,1.831,0.031957,-1.57008
0.275,0,0,1.831,0.031957,-1.57041
0.276,0,0,1.831,0.031957,-1.57064
0.277,0,0,1.831,0.031957,-1.57077
0.278,0,0,1.831,0.031957,-1.57079
0.279,0,0,1.831,0.031957,-1.57072
0.28,0,0,1.831,0.031957,-1.57055
0.281,0,0,1.831,0.031957,-1.57027
0.282,0,0,1.831,0.031957,-1.5699
0.283,0,0,1.831,0.031957,-1.56943
0.284,0,0,1.831,0.031957,-1.56885
0.285,0,0,1.831,0.031957,-1.56818
0.286,0,0,1.831,0.031957,-1.5674
0.287,0,0,1.831,0.031957,-1.56653
0.288,0,0,1.831,0.031957,-1.56555
0.289,0,0,1.831,0.031957,-1.56448
0.29,0,0,1.831,0.031957,-1.5633
0.291,0,0,1.831,0.031957,-1.56203
0.292,0,0,1.831,0.031957,-1.56066
0.293,0,0,1.831,0.031957,-1.55919
0.294,0,0,1.831,0.031957,-1.55762
0.295,0,0,1.831,0.031957,-1.55595
0.296,0,0,1.831,0.031957,-1.55418
0.297,0,0,1.831,0.031957,-1.55231
0.298,0,0,1.831,0.031957,-1.55035
0.299,0,0,1.831,0.031957,-1.54828
0.3,0,0,1.831,0.031957,-1.54612
0.301,0,0,1.831,0.031957,-1.54386
